cluster_id,freq_min_hz,freq_max_hz,n_freq_points,p_value,direction,t_stat_max,mean_power_diff,significant
0,2.190380761523046,5.364729458917836,1,0.116,EO > EC,4.040553973668527,3.4686966934375366e-09,False
1,35.719438877755515,38.69539078156313,1,0.174,EO > EC,2.212938543403762,4.0597761561799236e-11,False
2,65.08216432865731,68.05811623246493,1,0.174,EO > EC,2.272318286309293,2.5414675672370216e-11,False
3,78.96993987975952,81.15230460921843,1,0.212,EO > EC,2.216353950635438,1.4213958289354278e-11,False
4,81.74749498997996,83.7314629258517,1,0.228,EO > EC,2.2320816247667543,1.504296014182516e-11,False
5,85.3186372745491,86.11222444889779,1,0.374,EO > EC,2.114392318483166,1.187908054288256e-11,False
6,6.753507014028056,19.25250501002004,1,0.05,EC > EO,4.215704936021528,-9.092857519695959e-10,False
